87,11903,126.38,228.97,113.99,136.33,242.53,28.15,228.36
88,11489,129.11,227.91,120.49,133.51,242.65,27.648,222.49
89,10911,132.02,227.62,125.09,132.07,242.79,27.366,217.9
90,10333,130.07,228.11,121.82,133.14,242.85,27.561,220.98
91,10819,125.96,228.84,114.19,135.98,242.82,28.028,228.17
92,12508,121.59,229.34,106.53,138.76,242.76,28.454,235.59
93,14432,117.46,229.59,101.59,140.04,242.76,28.678,241.17
94,15795,115.54,229.37,100,140.35,242.81,28.755,243.47
95,15658,114.12,228.83,100.09,139.76,242.85,28.681,244.25
96,14759,113.75,228.46,100.58,139.34,242.89,28.575,244.07
97,14415,113.62,227.87,103.84,137.38,243.02,28.264,241.97
98,13755,114.62,227.58,106.11,136.39,243.12,28.114,239.8
99,14486,115.29,226.9,108.63,135.05,243.17,27.916,237.69
100,15186,115.82,226.55,109.6,134.42,243.21,27.856,236.53
101,15613,116.83,225.89,112.15,133.24,243.26,27.745,234.32
102,14680,116.31,226.04,110.56,133.92,243.27,27.937,235.62
103,14269,115.58,226.04,110.05,133.95,243.34,28.053,236.43
104,14073,114.79,225.46,111.34,132.96,243.39,27.99,236.24
105,13418,114.16,224.86,112.18,132.29,243.41,27.935,236.18
106,13500,114.68,223.88,115.86,130.55,243.47,27.693,233.79
107,16517,117.93,221.6,124.69,127.22,243.51,27.177,227.08
108,20862,122.92,219.01,135.88,123.92,243.56,26.59,218.58
109,24263,130.62,216.98,148,121.57,243.63,26.14,208.32
110,25225,136.64,216.19,154.71,120.92,243.67,26.067,201.6
111,25643,140.85,215.86,158.85,120.68,243.74,26.102,197.13
112,25307,139.5,215.88,157.65,120.88,243.78,26.242,198.74
113,23179,136.13,216.31,153.43,121.62,243.76,26.509,203
114,23122,130.36,216.78,146.74,122.6,243.7,26.851,210.01
115,22564,128.22,217.31,143.31,123.42,243.68,27.182,213.19
116,21960,129,217.43,143.37,123.69,243.7,27.36,212.78
117,19405,132.37,217.87,145.7,123.8,243.8,27.516,209.55
118,16606,138.6,218.85,149.12,124.25,243.92,27.726,203.75
119,13708,148.86,219.89,156.64,124.17,244.1,27.816,193.26
120,11718,157.96,220.22,164.1,123.62,244.23,27.796,183.51
121,10334,165.71,220.38,170.01,123.3,244.32,27.841,175.46
122,10689,164.71,220.32,169.05,123.4,244.33,27.909,176.62
123,11180,157.83,220.15,163.15,123.93,244.28,28.099,184.22
124,11320,153.69,219.68,160.18,124.19,244.25,28.263,188.81
125,11785,148.96,219.53,155.7,124.85,244.21,28.494,194.37
126,11897,148.55,219.49,155.74,124.92,244.23,28.61,194.88
127,11516,152.99,219.46,160.2,124.82,244.31,28.694,190.27
128,11404,155.87,219.67,163.06,124.94,244.39,28.839,187.47
129,11682,155.36,219.8,163.38,125.12,244.44,28.992,188.15
130,12131,153.73,219.85,162.21,125.31,244.46,29.145,190.02
131,13214,157.35,219.27,166.41,124.73,244.47,29.114,185.77
132,13288,164.78,218.65,173.97,123.87,244.51,29.04,177.4
133,12709,171.06,218.06,180.09,123.17,244.52,29.041,170.42
134,12178,173.13,217.67,183.2,122.59,244.53,29.056,167.76
135,11724,175.28,217.34,186.73,122.05,244.57,29.08,165.01
136,11435,173.56,217.18,186.2,122.03,244.6,29.234,166.76
137,11422,170.46,216.85,183.45,122.32,244.56,29.445,170.27
138,10690,171.44,216.9,183.28,122.58,244.56,29.68,169.66
139,10134,181.61,217.01,190.35,122.36,244.64,29.804,159.24
140,10429,195.56,216.44,201.51,121.63,244.73,29.785,144.51
141,11120,209.75,215.26,213.83,120.73,244.77,29.74,129.42
142,12564,232.12,213.38,234.08,119.21,244.84,29.496,105.41
143,14398,260.83,211.02,259.58,117.53,244.91,29.173,74.886
144,16594,250.27,209.49,258.69,116.82,244.93,29.104,84.761
145,16935,195.97,210.32,220.09,118.03,244.83,29.572,140.61
146,15831,160.83,212.22,187.4,120.21,244.68,30.309,178.38
147,14188,151.39,213.26,175.59,121.6,244.61,30.855,189.52
148,12597,156.15,213.01,179.34,121.5,244.65,31.057,184.77
149,12224,173.61,211.56,196.14,120.25,244.76,30.993,166.06
150,12150,194.73,210.44,214.36,119.3,244.87,31.003,143.99
151,11059,219.35,209.65,233.66,118.5,245.01,31.069,118.6
152,9356.4,254.2,208.87,257.74,117.79,245.15,31.159,83.09
153,8534.4,284.07,208.41,276.84,117.26,245.26,31.225,52.693
154,8287.3,288.64,208.31,280,117.14,245.34,31.379,48.06
155,8249.8,278.58,208.23,275.45,117.06,245.41,31.533,58.104
156,7899.2,266.24,207.57,270.59,116.85,245.46,31.634,70.318
157,7424,270.76,206.23,276.5,116.38,245.49,31.633,65.38
158,7071.3,298.5,204.59,296.6,115.74,245.54,31.577,37.017
159,6633.6,300,203.19,300.08,115.4,245.51,31.585,35.248
160,6070.7,300,202.44,301.18,115.24,245.51,31.638,35.132
161,5421.9,286.05,202.46,292.19,115.4,245.49,31.758,49.271
162,5366.1,243.72,202.5,263.8,115.86,245.38,31.89,92.158
163,5492.1,203.73,201.81,234.98,116.31,245.18,31.99,132.81
164,5447,180.12,201.11,215.87,116.68,244.97,32.089,157.02
165,5566.1,170.35,200.63,206.76,116.91,244.84,32.18,167.19
166,5692.4,167.39,200.76,202.53,117.16,244.76,32.287,170.47
167,6276.1,169.96,200.47,205.1,116.85,244.77,32.237,167.52
168,6969.1,171.58,199.89,207.71,116.34,244.77,32.134,165.34
169,7035.7,168.53,199.78,204.8,116.35,244.7,32.22,168.51
170,6546.5,163.72,199.71,200.43,116.39,244.62,32.301,173.47
171,6216.5,158.24,198.85,196.51,116.05,244.5,32.235,178.74
