1,2621.3,139.2,287.87,150.76,13.812,281.29,23.594,223.56
2,2396.9,138.11,287.84,146.44,15.504,281.71,25.595,226.12
3,2257.7,138.07,288.26,143.61,17.065,282.39,26.922,227.39
4,1927.1,138.91,288.53,142.63,18.067,282.96,27.348,227.16
5,1562.3,137.86,288.69,140.21,19.111,283.41,27.579,228.81
6,1620.7,135.59,289.17,137.73,19.885,283.98,27.076,231.3
7,1795.7,132.44,289.64,133.96,20.927,284.45,26.779,234.96
8,2046.3,129.68,289.93,130.15,22.024,284.82,26.819,238.38
9,2289.3,127.38,290.35,126.47,23.173,285.36,27.199,241.47
10,2539.2,126.69,291.07,123.48,24.707,286.11,28.138,243.43
11,2832.8,127.2,292.38,122.46,25.935,287.36,29.041,243.9
12,3023.2,128.63,294.19,123.84,26.468,289.08,29.79,242.79
13,3348.3,130.6,296.45,126.91,26.553,291.2,30.66,240.74
14,3826.3,131.9,299,130.13,26.675,293.51,31.477,239.33
15,4075.3,132.07,300.69,130.32,28.084,295.27,32.6,240.06
16,4162.8,132.03,301.47,127.38,31.165,296.41,34.184,242.48
17,4139.1,132.89,301.78,124.04,34.977,297.01,35.563,244.55
18,4073.2,133.67,302.05,121.53,38.283,297.35,36.152,246.07
19,4338.3,134.94,302.59,118.56,42.394,298.03,37.315,247.92
20,4567.3,136.45,303.32,116.77,46.02,298.95,38.318,249.03
21,4166.5,137.38,304.17,116.86,48.246,299.86,38.594,249.13
22,3928.2,138.29,304.85,117.48,50.081,300.6,38.628,248.78
23,3749.2,138.29,305.68,119.73,50.319,301.26,37.904,247.65
24,3843.6,137.85,306.75,123.38,49.591,302.04,36.807,245.9
25,3862.4,137.36,308.01,126.24,49.681,303.06,36.267,245
26,3781.6,137.24,309.51,127.66,50.963,304.22,36.401,245.04
27,3119.5,136.89,310.59,125.62,54.14,305.34,37.438,247.32
28,2284.7,137.34,310.91,119.24,60.499,306.24,39.388,252
29,2193.5,140.19,310.88,112.68,68.72,306.89,41.35,255.95
30,2576.7,142.04,311.17,110.31,73.513,307.52,41.872,257.16
31,3443.2,141.15,311.68,111.83,73.643,308.11,40.954,256.08
32,4110.1,139.26,312.21,113.59,73.212,308.68,39.843,255.29
33,4860.4,137.42,312.77,116.05,72.582,309.19,38.643,254.13
34,6278.4,136.87,313.02,117.86,73.36,309.57,37.721,252.88
35,8361.7,135.75,312.94,120.47,73.469,309.85,36.492,251.24
36,10758,134.22,312.73,124.92,72.644,310.17,34.898,248.73
37,12629,132.43,312.56,129.85,72.097,310.49,33.26,246.49
38,15046,132.63,312.73,138.19,71.493,310.86,31.524,241.91
39,15938,135.65,312.71,147.63,72.183,311.2,30.128,235.54
40,16038,141.47,312.15,158.01,73.863,311.46,29.01,227.12
41,14312,147.44,311.75,166.57,76.717,311.75,28.192,219.54
42,11797,153.43,311.88,173.96,80.401,312.07,27.619,212.65
43,9502.8,160.76,311.87,182.47,83.887,312.3,26.976,204.22
44,7666.7,166.85,311.95,189.23,87.766,312.56,26.461,197.33
45,6273.4,167.91,312.38,191.09,92.389,312.85,26.086,195.99
46,5682.6,162.35,312.74,185.12,97.95,313.07,25.934,202.19
47,5746.8,153.01,312.55,174.47,103.82,313.2,25.868,212.58
48,6292.8,145.41,312.41,165.27,109.68,313.33,25.76,221.11
49,7271.2,138.27,312.37,156.62,115.45,313.51,25.628,229.09
50,9463.2,130.54,312.24,146.42,121.38,313.67,25.599,238.08
51,12240,124.53,311.73,138.08,126.89,313.78,25.543,245.08
52,14137,119.46,311.28,131.09,131.91,313.86,25.542,251.06
53,15787,116.08,310.65,125.84,136.47,313.87,25.552,255.24
54,17650,114.51,310.17,123.35,140.15,313.83,25.535,257.18
55,18876,114.08,309.44,122.49,142.91,313.77,25.5,257.66
56,19948,113.26,308.72,121.66,145.16,313.68,25.418,258.39
57,20198,111.33,308.22,121.71,146.52,313.62,25.254,259.51
58,21026,110.06,307.56,122.86,147.33,313.55,25.077,259.71
59,22556,109.98,307.11,127,147.24,313.51,24.77,257.99
60,21392,113.06,306.77,134.54,146.71,313.49,24.449,252.85
61,18113,118.13,306.21,143.13,146.11,313.44,24.151,245.88
62,15771,124.24,305.35,150.12,146.29,313.39,24.005,238.79
63,14708,127.78,304.13,151.55,147.33,313.26,24.01,235.42
64,13554,128.35,302.35,150.25,147.87,313.06,23.926,234.86
65,12249,127.33,300.66,147.36,148.09,312.84,23.875,235.97
66,11411,125.27,299.16,143.33,147.79,312.56,23.893,238.31
67,11121,123.46,297.98,140.71,146.65,312.29,23.895,240.05
68,11466,123.67,296.73,141.12,145.06,312.04,23.778,239.29
69,11732,124.08,295.75,142.46,143.11,311.78,23.658,238.18
70,12098,124.95,294.5,144.34,140.45,311.49,23.538,236.62
71,12616,126.88,293.7,145.98,137.71,311.19,23.637,234.76
72,12435,128,292.99,146.96,134.74,310.79,23.758,233.81
73,12670,129.89,292.66,148.63,131.49,310.41,23.967,232.24
74,12845,132.23,292.1,151.33,128.3,309.99,23.966,229.85
75,13474,134.63,291.65,154.71,124.53,309.63,24.084,227.32
76,14115,136.58,291.32,157.26,120.69,309.19,24.2,225.41
77,13570,137.92,291.42,159.9,116.43,308.92,24.429,223.99
78,13114,139.4,291.5,161.83,112.05,308.62,24.733,222.57
79,12062,139.65,291.37,163.47,107.41,308.28,24.976,222.05
80,11919,137.32,291.29,162.71,102.41,307.87,25.332,224.35
81,12814,135.66,291.63,162.95,97.939,307.58,25.694,225.99
82,12829,136.69,291.68,164.35,93.586,307.19,26.228,225.26
